2025-07-14 13:52:06	INFO		Deleted offer with ID 2302
2025-07-14 13:52:06	INFO		Deleted offer with ID 2418
2025-07-14 13:52:06	INFO		Deleted offer with ID 2423
2025-07-14 13:52:06	INFO		Deleted offer with ID 3488
2025-07-14 13:52:06	INFO		Deleted offer with ID 3939
2025-07-14 13:52:06	INFO		Deleted offer with ID 3996
2025-07-14 13:52:06	INFO		Deleted offer with ID 4199
2025-07-14 13:52:06	INFO		Deleted offer with ID 4560
2025-07-14 13:52:06	INFO		Deleted offer with ID 4563
2025-07-14 13:52:06	INFO		Deleted offer with ID 4568
2025-07-14 13:52:06	INFO		Deleted offer with ID 4572
2025-07-14 13:52:06	INFO		Deleted offer with ID 4596
2025-07-14 13:52:06	INFO		Deleted offer with ID 4598
2025-07-14 13:52:06	INFO		Deleted offer with ID 4599
2025-07-14 13:52:06	INFO		Deleted offer with ID 4621
2025-07-14 13:52:06	INFO		Deleted offer with ID 4742
2025-07-14 13:52:06	INFO		Deleted offer with ID 4746
2025-07-14 13:52:06	INFO		Deleted offer with ID 4747
2025-07-14 13:52:06	INFO		Deleted offer with ID 4748
2025-07-14 13:52:06	INFO		Deleted offer with ID 4749
2025-07-14 13:52:06	INFO		Deleted offer with ID 4750
2025-07-14 13:52:06	INFO		Deleted offer with ID 4752
2025-07-14 13:52:06	INFO		Deleted offer with ID 4753
2025-07-14 13:52:06	INFO		Deleted offer with ID 4772
2025-07-14 13:52:06	INFO		Deleted offer with ID 4815
2025-07-14 13:52:06	INFO		Deleted offer with ID 4817
2025-07-14 13:52:06	INFO		Deleted offer with ID 4818
2025-07-14 13:52:06	INFO		Deleted offer with ID 4819
2025-07-14 13:52:06	INFO		Deleted offer with ID 4880
2025-07-14 13:52:06	INFO		Deleted offer with ID 4951
2025-07-14 13:52:06	INFO		Deleted offer with ID 4960
2025-07-14 13:52:06	INFO		Deleted offer with ID 5171
2025-07-14 13:52:06	INFO		Deleted offer with ID 5271
2025-07-14 13:52:06	INFO		Deleted offer with ID 5399
2025-07-14 13:52:06	INFO		Deleted offer with ID 5572
2025-07-14 13:52:06	INFO		Deleted offer with ID 6149
2025-07-14 13:52:06	INFO		Deleted offer with ID 6150
2025-07-14 13:52:06	INFO		Deleted offer with ID 7620
2025-07-14 13:52:06	INFO		Deleted offer with ID 7655
2025-07-14 13:52:06	INFO		Deleted offer with ID 8748
2025-07-14 13:52:06	INFO		Deleted offer with ID 9336
2025-07-14 13:52:06	INFO		Deleted offer with ID 13238
